font,ma,pinyin
隹,wco,Cuī = Cuēi -> co
禺,we,yǔ = ǚ -> e
申,wke,SHēn -> Ke
水,wko,SHuǐ = SHuěi -> Ko
力,wli,Lì
,xci,Cǎo -> Ci
丷,xci,Cǎo -> Ci
,xci,
羊,xo,yáng = iáng -> o
,xo,
,xo,
,xo,
乌,xu,wū = ū
鸟,xni,Niǎo -> Ni
,xni,
,xjo,Jīn -> Jo
竹,ysu,ZHú -> Su
,ysu,
,yo,Ø -> o ㊟無讀音或生僻部首
气,yqi,Qì
西,yxi,Xī
酉,yu,yǒu = iǒu -> u
,ydi,Dāo -> Di
,yfu,Fǔ
